Date,Open,High,Low,Close,Adj Close,Volume,SMA30,SMA30_Slope,EMA10,ATR,HH20,LL10,ROC12,TRIX,TRIX_SIGNAL,Symbol
2021-04-23,238.39999389648438,269.79998779296875,234.9199981689453,262.79998779296875,259.708740234375,13507405.0,,,262.79998779296875,,,,,,,VWS.CO
2021-04-30,264.0,277.75,255.3000030517578,258.20001220703125,255.1628875732422,23013484.0,,,261.77777099609375,,,,,-0.006373677956594825,-0.006373677956594825,VWS.CO
2021-05-07,256.0,256.0,226.3000030517578,245.0,242.11813354492188,22507348.0,,,258.04937744140625,,,,,-0.03447133199936392,-0.012617601077210178,VWS.CO
2021-05-14,246.3000030517578,246.60000610351562,220.0,226.5,223.83575439453125,10539030.0,,,251.0384046766493,,,,,-0.0994824030466468,-0.03192089040375165,VWS.CO
2021-05-21,232.0,239.8000030517578,223.3000030517578,232.10000610351562,229.36988830566406,17495171.0,,,246.82987166039737,,,,,-0.17473902112082884,-0.06365825278532436,VWS.CO
2021-05-28,233.1999969482422,242.39999389648438,231.60000610351562,238.8000030517578,235.99107360839844,10933573.0,,,245.04545641403303,,,,,-0.2417118758364034,-0.10322572457445303,VWS.CO
2021-06-04,239.0,242.39999389648438,216.60000610351562,225.60000610351562,222.9463348388672,11195572.0,,,240.72424523391805,,,,,-0.3171410572883837,-0.15076246517754874,VWS.CO
2021-06-11,225.60000610351562,226.10000610351562,210.60000610351562,213.6999969482422,211.18630981445312,9693257.0,,,234.7188567259901,,,,,-0.4087933108266051,-0.20810265309956127,VWS.CO
2021-06-18,216.1999969482422,239.39999389648438,214.89999389648438,228.89999389648438,226.20750427246094,16819373.0,,,233.42577609721104,,,210.60000610351562,,-0.48232527055734886,-0.2690410125346252,VWS.CO
2021-06-25,228.6999969482422,236.5,225.3000030517578,233.89999389648438,231.14869689941406,8853014.0,,,233.5311578303829,22.132997131347658,,210.60000610351562,,-0.5317831373775617,-0.3274281513886111,VWS.CO
2021-07-02,233.89999389648438,259.79998779296875,232.8000030517578,245.60000610351562,242.71107482910156,15565076.0,,,236.21312411330126,21.344996643066406,,210.60000610351562,,-0.5451674813937601,-0.3758146691675331,VWS.CO
2021-07-09,245.60000610351562,257.8999938964844,238.8000030517578,241.6999969482422,238.85694885253906,10439643.0,,,237.43242918773257,21.009996032714845,,210.60000610351562,,-0.5392080243995068,-0.41212430366352726,VWS.CO
